show_id,type,title,director,cast,country,date_added,release_year,rating,duration,genre,studio
s5657,Movie,7:19,Jorge Michel Grau,"DemiÃ¡n Bichir, HÃ©ctor Bonilla, Oscar Serrano, Azalia Ortiz, Octavio Michel, Carmen Beato",Mexico,23-Dec-16,2016,TV-MA,93 min,"Dramas, International Movies",Alameda Films
s5662,Movie,Barry,Vikram Gandhi,"Devon Terrell, Anya Taylor-Joy, Jason Mitchell, Ashley Judd, Jenna Elfman, Ellar Coltrane, Avi Nash, Linus Roache, John Benjamin Hickey",United States,16-Dec-16,2016,TV-MA,105 min,Dramas,Black Bear Pictures
s5665,Movie,3 TÃ¼rken & ein Baby,Sinan AkkuÅŸ,"Kostja Ullmann, Eko Fresh, Kida Khodr Ramadan, Sabrina KlÃ¼ber, Sami Nasser, Kayla Rybicka, Jytte-Merle BÃ¶hrnsen, Emrah Erdogru, Tim Grothe, HÃ¼lya Duyar",Germany,15-Dec-16,2015,TV-MA,93 min,"Comedies, International Movies",Egoli Tossell Film
s5675,TV Show,Merlin,James Hawes,"Colin Morgan, Bradley James, Katie McGrath, Angel Coulby, Richard Wilson, Anthony Head, John Hurt, Nathaniel Parker",United Kingdom,15-Dec-16,2012,TV-PG,500 min,"British TV Shows, International TV Shows, TV Action & Adventure",October 32nd Productions Limited
s5683,Movie,Spectral,Nic Mathieu,"James Badge Dale, Emily Mortimer, Bruce Greenwood, Max Martini, Clayne Crawford, Cory Hardrict, Louis Ozawa Changchien, Jimmy Akingbola, Dylan Smith, Philip Bulcock","United States, Hungary",9-Dec-16,2016,TV-14,108 min,"Action & Adventure, Sci-Fi & Fantasy",Legendary Entertainment
s5686,Movie,Other People,Chris Kelly,"Jesse Plemons, Molly Shannon, Bradley Whitford, Maude Apatow, Madisen Beaty, John Early, Zach Woods, Paul Dooley, June Squibb",United States,8-Dec-16,2016,TV-MA,97 min,"Comedies, Dramas, Independent Movies",Park Pictures
s5688,Movie,Blue Jay,Alex Lehmann,"Sarah Paulson, Mark Duplass, Clu Gulager",United States,6-Dec-16,2016,TV-MA,81 min,"Dramas, Independent Movies, Romantic Movies",Traverse Media
s5695,Movie,White Girl,Elizabeth Wood,"Morgan Saylor, Brian 'Sene' Marc, Justin Bartha, Chris Noth, Adrian Martinez, India Menuez, Anthony Ramos, Ralph Rodriguez, Annabelle Dexter-Jones",United States,2-Dec-16,2016,TV-MA,90 min,"Dramas, Independent Movies",Bank Street Films
s5703,Movie,Rainbow Time,Linas Phillips,"Linas Phillips, Melanie Lynskey, Timm Sharp, Tobin Bell, Jay Duplass, Lauren Weedman, Artemis Pebdani, Reagan Yates, Austin Fryberger",United States,1-Dec-16,2016,TV-MA,92 min,"Comedies, Dramas, Independent Movies",Duplass Brothers Productions
s5706,Movie,The Violin Player,Bauddhayan Mukherji,"Ritwick Chakraborty, Adil Hussain, Nayani Dixit, Sonam Stobgais",India,1-Dec-16,2016,TV-14,72 min,"Dramas, Independent Movies, International Movies",Little Lamb Films
s5710,Movie,Mercy,Chris Sparling,"James Wolk, Caitlin Fitzgerald, Tom Lipinski, Dan Ziskie, Michael Godere, Michael Donovan, Dion Graham, Constance Barron",United States,22-Nov-16,2016,TV-MA,88 min,"Dramas, Thrillers",IFC Films
s5711,Movie,The Land of Cards,Qaushiq Mukherjee,"Joyraj Bhattacharya, Rii, Soumyak Kanti DeBiswas, Anubrata Basu, Tillotama Shome, Maya Tideman, Tinu Verghese, Immaduddin Shah, Sayani Gupta",India,22-Nov-16,2012,TV-14,113 min,"Dramas, Independent Movies, International Movies",National Film Development Corporation of India (NFDC)
s5715,Movie,Divines,Houda Benyamina,"DÃ©borah Lukumuena, Jisca Kalvanda, KÃ©vin Mischel, Majdouline Idrissi, Oulaya Amamra, Yasin Houicha","France, Qatar",18-Nov-16,2016,TV-MA,107 min,"Dramas, Independent Movies, International Movies",Easy Tiger
s5743,Movie,West Coast,Benjamin Weill,"Devi Couzigou, Mathis Crusson, Victor Le Blond, Sullivan Loyez, Pierre-FranÃ§ois Martin-Laval, Hugo Chalan-Marchio",France,28-Oct-16,2016,TV-MA,81 min,"Comedies, Dramas, International Movies",Jerico
s5744,Movie,7 aÃ±os,Roger Gual,"Paco LeÃ³n, Juana Acosta, Juan Pablo Raba, Alex BrendemÃ¼hl, Manuel MorÃ³n",Spain,27-Oct-16,2016,TV-MA,77 min,"Dramas, International Movies",Cactus Flower Producciones
s5751,Movie,Blind Date,Clovis Cornillac,"MÃ©lanie Bernier, Clovis Cornillac, Lilou Fogli, Philippe Duquesne, GrÃ©goire Oestermann, Oscar Copp, Boris Terral, Manu Payet",France,15-Oct-16,2015,TV-14,91 min,"Comedies, International Movies, Music & Musicals",Columbia Pictures
s5765,Movie,Bombshell,Riccardo Pilizzeri,"Ande Cunningham, Mark Mitchinson, Mia Pistorius, Nathalie Boltt, Nathan Lovejoy, Colin Moy, Jay Simon, Coen Falke, Greta Gregory, Byron Coll",New Zealand,1-Oct-16,2016,TV-MA,86 min,Dramas,Molecular Films
s5768,Movie,Harud,Aamir Bashir,"Mohammad Amir Naji, Shahnawaz Bhat, Shamim Basharat, Salma Ashai, Mudessir Ahmed Khan, Rayes Mohiuddin",India,1-Oct-16,2010,TV-MA,100 min,"Dramas, International Movies",Chasingtales
s5771,Movie,Much Ado About Nothing,Alejandro FernÃ¡ndez Almendras,"AgustÃ­n Silva, Paulina GarcÃ­a, Daniel AlcaÃ­no, Alejandro Goic, Luis Gnecco, Samuel Landea, Dindi Jane, Isabella Costa, Augusto Schuster, Pilar Ronderos","Chile, United States, France",1-Oct-16,2016,TV-MA,96 min,"Dramas, Independent Movies, International Movies",Sonia Friedman Productions
s5779,Movie,Umrika,Prashant Nair,"Suraj Sharma, Tony Revolori, Smita Tambe, Adil Hussain, Rajesh Tailang, Prateik Babbar, Pramod Pathak, Amit Sial, Sauraseni Maitra",India,1-Oct-16,2015,TV-MA,96 min,"Dramas, Independent Movies, International Movies",Drishyam Films
s5793,Movie,ARQ,Tony Elliott,"Robbie Amell, Rachael Taylor, Shaun Benson, Gray Powell, Jacob Neayem, Adam Butcher, Tantoo Cardinal","Canada, United States",16-Sep-16,2016,TV-MA,89 min,"International Movies, Sci-Fi & Fantasy, Thrillers",Netflix
s5810,Movie,XOXO,Christopher Louie,"Sarah Hyland, Graham Phillips, Chris D'Elia, Hayley Kiyoko, Brett DelBuono, Ryan Hansen, Ian Anthony Dale, Ione Skye, Colin Woodell, LaMonica Garrett, Brianne Howey",United States,26-Aug-16,2016,TV-MA,92 min,"Dramas, Music & Musicals",Netflix
s5811,Movie,I'll Sleep When I'm Dead,Justin Krook,Steve Aoki,United States,19-Aug-16,2016,TV-MA,80 min,"Documentaries, Music & Musicals",Mosaic Film Group
s5829,Movie,Tallulah,Sian Heder,"Ellen Page, Allison Janney, Tammy Blanchard, Evan Jonigkeit, Uzo Aduba, John Benjamin Hickey, David Zayas, Zachary Quinto, Fredric Lehne",United States,29-Jul-16,2016,TV-MA,112 min,"Dramas, Independent Movies",Maiden Voyage
s5831,Movie,Rebirth,Karl Mueller,"Fran Kranz, Adam Goldberg, Nicky Whelan, Luis Gerardo MÃ©ndez, Harry Hamlin, Pat Healy, Kat Foster, Andrew J. West, Eric Ladin, Steve Agee",United States,15-Jul-16,2016,TV-MA,101 min,"Dramas, Thrillers","Cercle, Le"
s5833,Movie,Gridlocked,Allan Ungar,"Dominic Purcell, Cody Hackman, Stephen Lang, Trish Stratus, Danny Glover, Vinnie Jones, Saul Rubinek, Richard Gunn, Steve Byers, James A. Woods",Canada,14-Jul-16,2015,R,114 min,Action & Adventure,Hackybox Pictures
s5838,Movie,X: Past Is Present,"Hemant Gaba, Pratim D. Gupta, Sudhish Kamath, Nalan Kumarasamy, Anu Menon, Sandeep Mohan, Qaushiq Mukherjee, Rajshree Ojha, Raja Sen, Abhinav Shiv Tiwari, Suparn Verma","Anshuman Jha, Rajat Kapoor, Pooja Ruparel, Piaa Bajpai, Huma Qureshi, Usha Uthup, Radhika Apte, Swara Bhaskar",India,1-Jul-16,2015,TV-MA,105 min,"Dramas, Independent Movies, International Movies",Drishyam Films
s5842,Movie,Ip Man 3,Wilson Yip,"Donnie Yen, Zhang Jin, Lynn Hung, Patrick Tam, Karena Ng, Kent Cheng, Bryan Leung, Louis Cheung, Danny Chan, Mike Tyson, Babyjohn Choi","China, Hong Kong",18-Jun-16,2015,PG-13,105 min,"Action & Adventure, Dramas, International Movies",Golden Harvest Company
s5847,Movie,The Do-Over,Steven Brill,"Adam Sandler, David Spade, Paula Patton, Kathryn Hahn, Nick Swardson, Catherine Bell, Michael Chiklis, Natasha Leggero, Sean Astin",United States,27-May-16,2016,TV-MA,109 min,"Action & Adventure, Comedies",Happy Madison Productions
s5849,Movie,Special Correspondents,Ricky Gervais,"Eric Bana, Ricky Gervais, Vera Farmiga, Kelly Macdonald, Kevin Pollak, America Ferrera, RaÃºl Castillo, Benjamin Bratt","Canada, United Kingdom, United States",29-Apr-16,2016,TV-MA,101 min,Comedies,BRON Studios
s5852,Movie,Belgica,"Felix Van Groeningen, Felix van Groeningen","Stef Aerts, Tom Vermeir, Charlotte Vandermeersch, HÃ©lÃ¨ne Devos, Boris Van Severen, Sara De Bosschere, Dominique Van Malder, Sam Louwyck, Stefaan De Winter, Silvanus Saow","Belgium, France, Netherlands",15-Apr-16,2016,TV-MA,127 min,"Dramas, International Movies",Menuet Producties
